               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  34,              1.6576,              1.0271,              1.3428,             0.83322,              0.8517,             0.88597,             0.55514,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,               1.666,              1.0244,              1.3398,             0.82918,             0.84052,             0.89037,             0.55535,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.6542,              1.0165,              1.3281,             0.83433,             0.84578,             0.89879,             0.56139,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.6432,              1.0135,              1.3326,             0.78691,             0.80872,             0.85635,             0.53145,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.6545,              1.0271,              1.3376,             0.79871,             0.82884,             0.86838,             0.53469,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.6583,              1.0188,              1.3177,             0.85934,             0.83356,             0.90338,             0.56926,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.6449,              1.0054,               1.332,             0.83717,             0.83336,             0.89052,             0.56039,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.6392,              1.0128,              1.3366,             0.82841,             0.85943,             0.89301,             0.56724,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.6416,             0.99047,              1.3259,             0.81179,             0.84787,             0.89555,             0.56374,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,               1.627,              0.9818,              1.3205,             0.80437,             0.88273,             0.89926,             0.57094,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.6285,             0.98819,              1.3255,             0.82244,             0.84517,             0.89909,             0.56698,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.6206,             0.97604,              1.3229,             0.84091,             0.86688,             0.90266,             0.57188,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,               1.622,             0.96386,              1.3222,             0.85312,             0.85406,             0.91011,              0.5727,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,                1.62,             0.96572,              1.3268,             0.82234,              0.8571,             0.89621,             0.56752,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,               1.608,              0.9704,              1.3217,              0.8331,             0.87014,             0.90054,              0.5791,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.6076,             0.94598,              1.3101,             0.81287,             0.85313,             0.89496,             0.57704,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.6087,             0.94078,              1.3048,             0.82413,             0.85515,             0.90189,             0.57683,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.6037,             0.95126,              1.3196,              0.8496,             0.86903,             0.90903,             0.58489,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.6104,             0.95103,              1.3162,             0.81663,             0.87671,             0.90832,             0.58034,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.6049,             0.94185,              1.3164,             0.86167,             0.84205,              0.9009,             0.57966,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.5915,             0.93513,              1.3049,             0.84406,             0.85715,             0.90165,              0.5768,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.5909,             0.93222,              1.3144,             0.83778,             0.85048,             0.90154,             0.58117,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.5795,             0.92993,              1.3029,             0.84597,             0.87627,             0.91234,              0.5864,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
