                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.498,                 1.2881,                 1.2154,                0.74256,                0.65438,                0.72102,                0.41189,                 1.3851,                 1.1467,                 1.2867,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.4763,                 1.2695,                  1.213,                0.70747,                0.68523,                0.72532,                0.40814,                 1.3691,                 1.1267,                 1.2757,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.4747,                 1.2533,                 1.2069,                0.69308,                0.69983,                0.73669,                0.41477,                 1.3731,                 1.1499,                 1.2768,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.4806,                  1.256,                 1.2165,                 0.7026,                0.69898,                0.73001,                0.42168,                 1.3782,                 1.1184,                 1.2811,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.4699,                 1.2439,                 1.2042,                0.73236,                0.72554,                0.76711,                0.43709,                 1.3563,                 1.0891,                  1.269,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.4625,                 1.2425,                 1.2033,                0.71217,                0.72812,                0.75456,                0.43051,                 1.3608,                 1.0961,                 1.2686,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.4714,                 1.2375,                 1.2069,                0.71957,                0.71083,                0.74477,                0.42251,                 1.3867,                 1.0947,                 1.2843,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.4545,                 1.2003,                 1.1913,                0.73511,                0.71822,                0.76326,                0.42308,                 1.3765,                 1.1316,                 1.2755,               0.000604,               0.000604,               0.000604
                     42,                 1.4601,                 1.2137,                 1.2005,                0.70814,                0.76486,                0.77003,                 0.4382,                 1.3607,                 1.0675,                  1.262,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.4511,                 1.1989,                 1.2008,                0.74533,                0.67068,                 0.7423,                0.41373,                 1.3943,                 1.1054,                 1.2805,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.4484,                 1.1876,                 1.1883,                0.77001,                0.69812,                0.77392,                0.43728,                  1.358,                 1.0706,                 1.2616,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.4612,                 1.1979,                 1.1973,                0.72165,                0.76288,                0.77927,                0.44571,                 1.3459,                 1.0646,                 1.2573,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.4407,                 1.1756,                 1.1879,                0.74401,                 0.7064,                0.76946,                0.43653,                 1.3564,                 1.0723,                 1.2577,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.4536,                 1.1917,                  1.195,                 0.7446,                0.73487,                0.77264,                0.44106,                 1.3545,                 1.0698,                 1.2602,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.4412,                  1.175,                 1.1878,                0.66248,                0.69898,                0.70666,                0.39507,                 1.4051,                 1.1856,                 1.2834,              0.0005347,              0.0005347,              0.0005347
                     49,                  1.446,                 1.1747,                 1.1933,                0.71565,                0.74439,                0.77066,                0.44709,                 1.3421,                 1.0644,                 1.2536,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.4359,                 1.1625,                  1.182,                0.70492,                0.64983,                0.70216,                0.39458,                 1.4547,                 1.1392,                 1.3054,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.4292,                 1.1529,                 1.1826,                0.71804,                 0.7605,                0.77836,                0.44263,                 1.3632,                 1.0673,                 1.2623,               0.000505,               0.000505,               0.000505
                     52,                 1.4351,                  1.147,                 1.1862,                   0.75,                0.74444,                0.78522,                0.45579,                  1.339,                 1.0224,                 1.2555,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.4457,                 1.1685,                 1.1939,                0.74676,                0.73814,                 0.7843,                0.45327,                 1.3475,                 1.0278,                 1.2515,              0.0004852,              0.0004852,              0.0004852
