                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4058,                 1.1087,                 1.1871,                0.77275,                0.77358,                0.82435,                0.47903,                 1.3199,                0.96982,                 1.2734,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.3891,                 1.0948,                  1.185,                0.75775,                0.76134,                0.81565,                0.48454,                 1.3138,                0.97717,                 1.2726,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.3866,                 1.0804,                 1.1792,                0.70687,                0.67369,                0.71794,                0.38872,                 1.4349,                 1.1425,                 1.3337,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.3903,                 1.0856,                 1.1896,                0.76416,                 0.7991,                0.81475,                0.48019,                 1.3071,                 0.9555,                 1.2632,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.3802,                 1.0645,                 1.1748,                0.77018,                0.80271,                0.83325,                0.48933,                 1.2955,                0.95346,                 1.2604,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3734,                 1.0694,                 1.1757,                0.79196,                0.77973,                0.81947,                 0.4882,                  1.313,                0.93466,                 1.2665,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.3786,                 1.0617,                 1.1765,                0.80205,                0.77484,                0.84285,                0.48989,                 1.2991,                0.95658,                  1.259,              0.0006139,              0.0006139,              0.0006139
                     41,                  1.369,                 1.0316,                 1.1674,                0.77392,                0.78506,                0.83472,                0.48518,                 1.3258,                0.94579,                 1.2768,               0.000604,               0.000604,               0.000604
                     42,                 1.3743,                 1.0365,                 1.1764,                0.77249,                 0.8242,                0.85053,                0.50143,                 1.2979,                0.90787,                 1.2594,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.3642,                 1.0308,                 1.1752,                0.76505,                0.76743,                0.80952,                0.47864,                 1.2992,                0.98372,                 1.2623,              0.0005842,              0.0005842,              0.0005842
                     44,                  1.362,                 1.0143,                 1.1641,                0.78216,                0.77724,                0.83942,                0.49083,                 1.2975,                 0.9664,                 1.2584,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.3743,                 1.0305,                 1.1743,                0.79946,                0.79965,                0.84172,                0.49242,                  1.285,                0.91559,                 1.2493,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.3582,                 1.0141,                 1.1647,                0.78591,                0.77849,                0.82797,                0.48022,                 1.2862,                0.95173,                 1.2523,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.3625,                 1.0177,                  1.169,                0.80475,                0.80824,                0.85216,                0.50152,                 1.2814,                0.90917,                 1.2466,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.3556,                 1.0062,                 1.1635,                 0.7945,                0.77843,                  0.844,                0.49702,                 1.2918,                 0.9243,                 1.2499,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.3591,                 1.0068,                 1.1669,                0.77741,                0.82015,                0.85041,                0.50034,                  1.281,                0.90188,                 1.2463,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.3505,                0.99192,                  1.156,                0.78419,                 0.8046,                0.84109,                0.50457,                 1.2834,                0.89876,                 1.2457,              0.0005149,              0.0005149,              0.0005149
