                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5664,                 0.7548,                0.11156,                0.45989,                0.56546,                0.50882,                0.28897,                0.43215,                0.87076,                0.10444,              0.0006535,              0.0006535,              0.0006535
                     37,                0.57233,                0.75076,                 0.1134,                0.53581,                0.57578,                0.54509,                0.30541,                0.42858,                0.85708,                0.10258,              0.0006436,              0.0006436,              0.0006436
                     38,                0.56543,                0.74682,                0.11193,                0.49205,                0.58173,                0.51479,                0.29048,                0.43109,                0.86629,                0.10467,              0.0006337,              0.0006337,              0.0006337
                     39,                0.55953,                0.74771,                0.11144,                0.49396,                0.55506,                0.50897,                0.28871,                0.42978,                0.85664,                0.10558,              0.0006238,              0.0006238,              0.0006238
                     40,                0.56149,                0.74263,                0.10982,                0.49221,                0.58005,                0.55143,                0.30854,                 0.4272,                0.84732,                0.10411,              0.0006139,              0.0006139,              0.0006139
                     41,                 0.5511,                 0.7272,                0.10701,                0.53115,                0.61463,                 0.5642,                0.32174,                0.42159,                0.83821,                0.10183,               0.000604,               0.000604,               0.000604
                     42,                0.55048,                0.73311,                0.10842,                0.55011,                0.61597,                0.59038,                0.33459,                0.42182,                0.83969,                 0.1001,              0.0005941,              0.0005941,              0.0005941
                     43,                0.54945,                0.72866,                 0.1099,                0.52556,                0.59354,                 0.5544,                0.31543,                0.44077,                0.83734,                0.10853,              0.0005842,              0.0005842,              0.0005842
                     44,                0.54558,                0.72333,                0.10472,                  0.543,                0.61641,                0.57977,                0.32372,                0.42714,                0.87205,                0.10375,              0.0005743,              0.0005743,              0.0005743
                     45,                0.55329,                0.72184,                0.10857,                0.52921,                0.62602,                0.56788,                0.32609,                0.42322,                 0.8674,                0.10231,              0.0005644,              0.0005644,              0.0005644
                     46,                0.53772,                0.71528,                0.10322,                0.52423,                0.59825,                0.57572,                0.32485,                0.41758,                0.84947,                0.10014,              0.0005545,              0.0005545,              0.0005545
                     47,                0.54021,                0.72312,                0.10435,                0.57506,                0.58844,                 0.5859,                0.33299,                0.41918,                0.84134,                0.10144,              0.0005446,              0.0005446,              0.0005446
                     48,                0.53535,                0.71727,                0.10375,                0.54512,                0.62491,                0.60107,                0.33977,                0.41919,                0.82405,                0.09995,              0.0005347,              0.0005347,              0.0005347
                     49,                0.53324,                0.71808,                0.10281,                0.55557,                0.65797,                0.61234,                0.34833,                0.41527,                0.82588,                0.10031,              0.0005248,              0.0005248,              0.0005248
                     50,                0.53246,                0.70646,                0.10203,                0.53711,                0.62062,                 0.6051,                 0.3444,                0.41718,                0.80411,                0.10124,              0.0005149,              0.0005149,              0.0005149
                     51,                0.52206,                0.70676,                0.10001,                0.56952,                0.62817,                0.61874,                0.34937,                0.42596,                 0.7993,                0.10394,               0.000505,               0.000505,               0.000505
                     52,                0.52667,                0.70577,                0.10149,                0.57278,                0.64959,                0.61845,                0.35273,                0.42066,                0.80069,                0.10207,              0.0004951,              0.0004951,              0.0004951
                     53,                0.52836,                0.71038,                0.10164,                0.57955,                0.62819,                0.62877,                0.35785,                0.42198,                0.78356,                0.10283,              0.0004852,              0.0004852,              0.0004852
