                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4105,                 1.1263,                 1.1967,                0.63234,                0.63969,                 0.6721,                0.37026,                 1.4646,                 1.1525,                 1.3567,              0.0006634,              0.0006634,              0.0006634
                     36,                  1.406,                 1.1129,                 1.1891,                0.74138,                0.75579,                0.78948,                0.46252,                 1.3367,                 1.0233,                 1.2929,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.4129,                 1.1145,                 1.2029,                0.68886,                0.70175,                0.74783,                0.42703,                 1.3992,                 1.0573,                 1.3172,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.4028,                 1.0957,                 1.1874,                0.77208,                0.77135,                0.81852,                0.48463,                 1.3095,                0.97405,                 1.2693,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3971,                 1.0966,                 1.1872,                0.76445,                0.76492,                0.80142,                0.46175,                 1.3631,                0.98154,                 1.2966,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.3985,                 1.0913,                 1.1883,                0.77611,                0.77699,                 0.8137,                 0.4827,                 1.3093,                0.96159,                 1.2655,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.3889,                 1.0573,                 1.1757,                0.78909,                0.77662,                0.81774,                 0.4814,                 1.3154,                0.93254,                  1.274,               0.000604,               0.000604,               0.000604
                     42,                  1.394,                 1.0674,                 1.1869,                 0.7888,                0.78691,                0.82199,                0.48358,                 1.3202,                 0.9482,                 1.2771,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.3808,                 1.0582,                 1.1852,                0.78931,                0.79175,                0.82985,                0.49021,                 1.3014,                0.91659,                 1.2682,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.3837,                 1.0447,                  1.175,                0.79168,                0.78982,                0.83728,                 0.4857,                 1.3208,                0.93937,                 1.2749,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.3904,                 1.0524,                 1.1832,                0.80091,                0.80146,                0.83867,                0.49008,                 1.3123,                0.91558,                 1.2679,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.3795,                 1.0384,                 1.1745,                0.78816,                0.77142,                0.83099,                0.48825,                 1.3107,                0.93382,                 1.2696,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.3812,                 1.0428,                 1.1806,                0.78455,                0.79875,                0.83498,                0.49671,                  1.295,                0.90669,                 1.2633,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.3736,                 1.0332,                 1.1745,                0.73852,                0.82136,                0.82851,                0.48433,                 1.3149,                0.92587,                 1.2695,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.3781,                 1.0337,                 1.1776,                0.65317,                0.64999,                0.67738,                0.40532,                 1.3437,                 1.1906,                 1.2914,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.3663,                 1.0154,                 1.1658,                0.79684,                0.80383,                 0.8368,                0.49487,                 1.2981,                0.89503,                 1.2617,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.3626,                 1.0129,                 1.1669,                0.76966,                0.77918,                0.81376,                0.48512,                 1.3075,                0.93057,                 1.2671,               0.000505,               0.000505,               0.000505
                     52,                 1.3638,                 1.0061,                 1.1706,                 0.7923,                0.77447,                0.83319,                0.49748,                 1.2852,                0.88853,                 1.2564,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.3774,                 1.0178,                 1.1802,                0.80166,                0.81237,                0.84506,                0.51288,                 1.2867,                0.88664,                 1.2566,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.3593,                 1.0114,                 1.1724,                0.74847,                0.78415,                0.81404,                0.47445,                 1.3321,                0.96812,                   1.28,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.3492,                0.98476,                 1.1682,                0.75155,                0.80021,                0.81869,                0.48364,                 1.3053,                0.93187,                 1.2635,              0.0004654,              0.0004654,              0.0004654
                     56,                  1.355,                0.99483,                 1.1628,                0.79396,                0.81759,                0.84031,                0.49851,                 1.2866,                0.89609,                 1.2553,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.3429,                0.98729,                 1.1661,                0.80684,                0.83186,                0.84898,                0.50715,                 1.2807,                0.88339,                 1.2503,              0.0004456,              0.0004456,              0.0004456
                     58,                  1.356,                0.98358,                 1.1634,                0.80798,                0.81909,                0.85473,                0.50644,                 1.2677,                0.89195,                 1.2439,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.3448,                0.97938,                 1.1611,                0.82111,                0.82186,                0.85863,                0.51127,                 1.2704,                 0.8662,                 1.2427,              0.0004258,              0.0004258,              0.0004258
                     60,                  1.358,                 0.9844,                 1.1574,                0.83066,                0.78668,                0.85267,                0.51054,                 1.2837,                0.89288,                  1.252,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.3539,                0.96826,                 1.1656,                0.79357,                0.82259,                0.84866,                0.50615,                 1.2818,                0.91002,                  1.251,               0.000406,               0.000406,               0.000406
                     62,                  1.349,                0.97564,                 1.1611,                0.80909,                0.82024,                0.84905,                0.51613,                 1.2722,                0.86752,                 1.2441,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.3438,                0.96786,                 1.1558,                0.82756,                0.81137,                0.86848,                0.52141,                 1.2688,                 0.8647,                 1.2457,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.3468,                 0.9642,                 1.1657,                0.81365,                0.82262,                  0.844,                0.51415,                 1.2626,                0.86977,                 1.2387,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.3419,                0.96438,                 1.1582,                0.80396,                0.83988,                 0.8641,                0.51838,                 1.2749,                0.86198,                 1.2465,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.3372,                 0.9478,                 1.1547,                 0.8007,                0.83303,                0.86265,                0.52096,                 1.2655,                0.85326,                 1.2442,              0.0003565,              0.0003565,              0.0003565
