                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7377,                 1.7651,                 2.2074,                0.80667,                0.82772,                 0.8746,                0.52638,                 2.5368,                 1.4566,                  2.308,               0.067062,             0.00033271,             0.00033271
                      2,                 2.5766,                 1.4724,                 2.1391,                 0.8207,                0.83835,                0.88247,                0.54121,                 2.4817,                 1.3901,                 2.2957,               0.034055,             0.00065945,             0.00065945
                      3,                 2.5607,                 1.4121,                 2.1378,                  0.834,                0.85473,                0.89983,                0.55103,                 2.4952,                 1.2893,                 2.2837,              0.0010422,             0.00097959,             0.00097959
                      4,                 2.5965,                 1.4213,                 2.1366,                0.79989,                0.88258,                0.89318,                0.55375,                 2.4431,                 1.2797,                 2.2512,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.5508,                 1.3668,                 2.1317,                0.84389,                0.85365,                0.90382,                0.55676,                 2.4724,                 1.2899,                 2.2818,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.5302,                 1.3443,                 2.1313,                0.82607,                0.85149,                0.89257,                0.55767,                 2.4412,                 1.2893,                  2.275,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.5192,                 1.3434,                 2.1215,                0.82662,                0.86835,                0.90418,                0.57104,                 2.4344,                 1.2457,                  2.275,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.5065,                 1.2895,                 2.1085,                0.84933,                0.83519,                0.89789,                0.57065,                 2.4207,                 1.2506,                 2.2649,              0.0009307,              0.0009307,              0.0009307
                      9,                 2.4977,                 1.2913,                 2.0992,                0.84885,                 0.8448,                0.90621,                 0.5773,                  2.408,                  1.202,                 2.2447,              0.0009208,              0.0009208,              0.0009208
                     10,                 2.4699,                 1.2596,                 2.0909,                0.84266,                0.85635,                0.90581,                0.57156,                 2.4404,                 1.1796,                 2.2678,              0.0009109,              0.0009109,              0.0009109
