                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4591,                 1.2173,                 1.2065,                0.46176,                0.50127,                0.42514,                0.23204,                 1.7691,                 2.4288,                 1.5101,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.4385,                 1.1984,                 1.2021,                0.72421,                 0.7177,                0.75472,                0.43726,                 1.3611,                 1.0902,                 1.2938,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.4347,                 1.1884,                  1.196,                 0.7685,                0.70921,                0.77889,                0.45801,                 1.3372,                 1.0724,                  1.279,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.4437,                 1.1898,                 1.2084,                 0.7383,                0.72925,                0.77157,                0.45106,                 1.3263,                 1.0423,                 1.2659,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.4295,                 1.1709,                 1.1912,                0.73321,                0.71627,                0.76138,                0.43891,                 1.3844,                  1.079,                 1.3043,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.4237,                 1.1657,                 1.1918,                0.77592,                0.66035,                0.77584,                0.44921,                   1.36,                 1.1133,                 1.2837,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.4308,                 1.1642,                  1.195,                0.75386,                0.73068,                0.77881,                0.45688,                 1.3401,                  1.021,                 1.2727,              0.0006139,              0.0006139,              0.0006139
                     41,                  1.415,                 1.1264,                 1.1804,                0.75131,                0.76308,                0.79396,                0.46512,                  1.322,                0.99707,                 1.2612,               0.000604,               0.000604,               0.000604
                     42,                 1.4209,                 1.1406,                 1.1895,                0.71293,                0.62378,                0.69697,                0.38732,                 1.4714,                 1.2069,                  1.348,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.4129,                  1.128,                 1.1918,                0.73731,                0.74721,                0.79278,                0.46606,                 1.3331,                 1.0091,                 1.2652,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.4116,                 1.1125,                 1.1789,                0.76549,                0.72339,                0.78802,                0.46596,                 1.3299,                 1.0397,                 1.2699,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.4194,                  1.126,                 1.1871,                0.73756,                0.76574,                0.79034,                0.44946,                 1.3843,                 1.0224,                 1.2909,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.4035,                 1.1053,                 1.1777,                0.72257,                 0.7575,                0.78881,                0.45553,                 1.3408,                 1.0204,                  1.269,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.4107,                 1.1174,                 1.1834,                0.78066,                0.75188,                  0.803,                0.47117,                  1.336,                0.99537,                 1.2678,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.3993,                  1.102,                 1.1759,                0.78417,                0.73975,                0.79972,                0.48167,                 1.3073,                0.96071,                 1.2502,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.4088,                 1.1056,                 1.1833,                0.74364,                0.74789,                0.79633,                0.47044,                  1.313,                 1.0193,                 1.2521,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.3968,                 1.0841,                 1.1702,                0.74096,                0.74843,                 0.7864,                0.45451,                 1.3736,                 1.0271,                 1.2853,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.3921,                 1.0756,                 1.1709,                0.74244,                0.75216,                0.79703,                0.47633,                 1.3123,                 1.0151,                 1.2562,               0.000505,               0.000505,               0.000505
                     52,                 1.3949,                 1.0783,                 1.1758,                0.76315,                0.76292,                0.81583,                0.49265,                 1.2997,                0.95028,                 1.2507,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.4069,                 1.0885,                 1.1842,                0.75512,                0.76043,                0.80916,                0.47846,                 1.3263,                0.96901,                 1.2589,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.3894,                 1.0793,                 1.1783,                0.77567,                0.74867,                0.80815,                0.47899,                 1.3241,                 0.9657,                 1.2606,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.3819,                 1.0588,                 1.1739,                0.79859,                0.75704,                0.82152,                0.49144,                  1.297,                0.93982,                 1.2417,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.3867,                 1.0631,                 1.1686,                 0.7791,                0.76592,                0.81333,                0.48382,                    1.3,                 0.9586,                 1.2481,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.3729,                 1.0572,                 1.1719,                  0.785,                 0.7623,                 0.8164,                0.48411,                 1.3197,                0.97637,                 1.2578,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.3886,                 1.0489,                 1.1695,                0.78117,                0.77802,                0.82089,                0.49236,                 1.2894,                0.93726,                 1.2411,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.3745,                 1.0437,                 1.1654,                0.80374,                0.78122,                0.83199,                0.50157,                  1.288,                0.91962,                 1.2366,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.3912,                 1.0548,                 1.1643,                0.77818,                0.77013,                0.82465,                0.49696,                  1.299,                0.93995,                 1.2442,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.3805,                 1.0377,                 1.1691,                0.76986,                0.74593,                0.80489,                0.47687,                  1.302,                 1.0226,                 1.2493,               0.000406,               0.000406,               0.000406
                     62,                 1.3795,                 1.0465,                 1.1641,                0.80417,                0.76398,                0.82397,                0.49589,                 1.2918,                0.92731,                 1.2417,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.3736,                 1.0337,                 1.1613,                0.77998,                0.79509,                0.82839,                0.50219,                  1.287,                 0.9309,                 1.2362,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.3758,                  1.038,                 1.1691,                0.75797,                 0.7879,                 0.8118,                0.47943,                 1.3273,                0.96275,                 1.2582,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.3745,                  1.035,                 1.1643,                0.78075,                0.77724,                0.83217,                0.50433,                 1.2833,                0.91881,                 1.2346,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.3662,                 1.0102,                 1.1577,                0.78718,                0.80086,                0.83742,                0.50667,                 1.2839,                0.90305,                 1.2348,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.3691,                 1.0315,                 1.1671,                0.76934,                0.81472,                0.83565,                0.50302,                 1.2873,                0.92165,                  1.233,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.3659,                 1.0217,                  1.158,                0.80205,                0.77508,                 0.8357,                0.51176,                 1.2842,                0.91219,                 1.2305,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.3694,                 1.0185,                 1.1601,                 0.7777,                0.81422,                0.84064,                0.50806,                 1.2787,                0.90555,                 1.2301,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.3698,                 1.0233,                 1.1574,                0.80898,                0.78402,                0.84202,                0.50919,                 1.2737,                0.91846,                  1.228,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.3699,                 1.0155,                 1.1549,                0.77499,                0.78122,                0.82405,                0.49888,                 1.2909,                0.94308,                  1.237,               0.000307,               0.000307,               0.000307
                     72,                 1.3656,                 1.0171,                 1.1667,                0.78276,                0.79507,                0.83612,                 0.5043,                  1.278,                0.93334,                 1.2305,              0.0002971,              0.0002971,              0.0002971
                     73,                  1.372,                 1.0068,                 1.1636,                0.78428,                0.80302,                0.84073,                0.51385,                 1.2785,                0.91083,                 1.2283,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.3666,                  1.005,                 1.1502,                0.82188,                0.78536,                 0.8427,                0.51032,                 1.2701,                0.90594,                 1.2277,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.3559,                0.99915,                 1.1537,                0.78407,                0.81167,                0.84372,                0.51044,                 1.2777,                0.88795,                 1.2274,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.3631,                  1.001,                 1.1591,                0.81104,                0.78066,                0.84311,                0.51415,                 1.2713,                0.89419,                 1.2257,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.3586,                 1.0035,                 1.1601,                0.78802,                0.79924,                0.83447,                0.50468,                 1.2797,                0.91838,                 1.2298,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.3639,                 1.0015,                  1.153,                0.78654,                0.80958,                0.83631,                0.51175,                 1.2661,                0.90336,                 1.2215,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.3511,                 0.9978,                 1.1541,                0.81039,                 0.7871,                0.84245,                 0.5145,                 1.2671,                0.89338,                  1.221,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.3487,                 0.9925,                 1.1508,                0.79941,                0.80369,                0.84267,                 0.5155,                 1.2696,                0.89199,                 1.2219,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.3647,                0.99538,                  1.153,                0.79028,                0.80234,                0.84235,                0.50944,                 1.2754,                0.90529,                 1.2252,               0.000208,               0.000208,               0.000208
                     82,                 1.3524,                0.98822,                 1.1544,                0.80478,                0.78938,                0.84274,                0.51177,                 1.2684,                0.88806,                 1.2215,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.3592,                0.98657,                 1.1558,                0.79417,                0.80873,                0.84252,                0.51354,                 1.2698,                0.89815,                 1.2239,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.3601,                0.98858,                 1.1511,                0.81323,                0.78944,                0.84203,                0.51488,                 1.2642,                0.87857,                 1.2214,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.3522,                0.97778,                 1.1455,                0.82791,                0.78015,                 0.8474,                0.51393,                 1.2725,                0.88412,                 1.2263,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.3545,                0.99157,                 1.1622,                0.80707,                0.78969,                0.84322,                0.51328,                 1.2662,                0.88866,                 1.2211,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.3541,                0.99648,                 1.1526,                0.80685,                0.79604,                0.84338,                0.51509,                 1.2711,                0.88188,                 1.2236,              0.0001486,              0.0001486,              0.0001486
                     88,                  1.347,                0.98528,                 1.1485,                0.81555,                0.78398,                 0.8434,                  0.513,                 1.2687,                0.88505,                 1.2226,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.3444,                0.97309,                 1.1529,                 0.8223,                0.78248,                0.84603,                0.51628,                 1.2685,                0.88324,                 1.2228,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.3373,                0.96595,                 1.1443,                0.79089,                0.81701,                0.84191,                0.51412,                 1.2715,                0.88858,                 1.2251,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.3136,                 1.0126,                 1.1884,                0.79656,                0.81078,                0.84439,                0.51666,                  1.274,                0.88669,                 1.2245,               0.000109,               0.000109,               0.000109
                     92,                 1.3007,                0.99729,                 1.1827,                0.82067,                0.79103,                  0.851,                0.52083,                 1.2671,                0.88081,                 1.2223,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                  1.306,                 1.0012,                 1.1929,                0.81667,                0.78485,                0.85063,                 0.5195,                 1.2706,                0.87994,                 1.2226,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.3098,                0.98217,                 1.1832,                0.80915,                0.79724,                0.85059,                0.52236,                 1.2678,                0.87484,                 1.2207,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.3059,                0.99912,                 1.1849,                0.80456,                0.80726,                0.85069,                0.52166,                 1.2659,                0.87207,                 1.2211,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.3046,                0.99053,                 1.1916,                0.81134,                0.78445,                0.84986,                0.52017,                 1.2689,                0.87033,                 1.2218,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.2961,                 0.9724,                 1.1787,                0.80648,                0.79052,                0.85153,                0.52084,                 1.2671,                0.86982,                 1.2206,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.2998,                0.98997,                 1.1878,                0.80362,                0.79984,                 0.8509,                0.52043,                 1.2681,                0.87357,                 1.2215,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.3054,                0.98408,                 1.1842,                0.80556,                0.79064,                0.85058,                0.52188,                 1.2664,                0.87812,                 1.2205,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 1.3054,                0.98642,                 1.1962,                0.78914,                0.80782,                0.85075,                0.52223,                 1.2652,                0.87365,                 1.2198,               1.99e-05,               1.99e-05,               1.99e-05
