epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7106,5.25259,5.8438,4.06916,0.0029,0.00532,0.00031,6e-05,4.89661,4.7586,3.8205,0.067062,0.000332707,0.000332707
2,116.183,4.82266,5.05455,3.55202,0.00139,0.09977,0.0015,0.00035,4.32409,4.37642,3.38785,0.0340554,0.000659446,0.000659446
3,173.058,3.9255,4.29383,2.9953,0.0176,0.06058,0.01473,0.00485,3.04673,12.1841,2.78121,0.00104224,0.000979586,0.000979586
4,227.727,2.90748,3.37768,2.32355,0.11996,0.20256,0.11328,0.04936,2.36123,3.083,2.22881,0.0009703,0.0009703,0.0009703
5,282.35,2.27222,2.8054,1.85637,0.35699,0.20252,0.1704,0.07879,2.13092,2.50233,2.02344,0.0009604,0.0009604,0.0009604
