               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.3188,             0.81047,              1.0808,             0.80415,             0.82373,             0.86232,             0.53034,              1.2234,             0.75809,              1.1609,            0.006436,            0.006436,            0.006436
                  38,              1.3368,             0.82843,               1.089,             0.79945,              0.8225,             0.87059,             0.54095,              1.2204,             0.73112,              1.1653,            0.006337,            0.006337,            0.006337
                  39,              1.3324,             0.82236,               1.066,             0.85688,             0.81687,              0.8941,             0.56808,              1.1889,             0.67873,              1.1468,            0.006238,            0.006238,            0.006238
                  40,              1.3168,             0.80063,              1.0748,             0.82578,             0.84681,             0.89598,             0.55983,              1.2021,             0.67811,              1.1536,            0.006139,            0.006139,            0.006139
                  41,               1.317,             0.81147,              1.0808,              0.8634,             0.80056,             0.89287,             0.56233,              1.1912,             0.68327,              1.1502,             0.00604,             0.00604,             0.00604
                  42,              1.3182,             0.80282,              1.0721,             0.83112,             0.84231,             0.88709,             0.56155,              1.1999,              0.6721,              1.1506,            0.005941,            0.005941,            0.005941
                  43,              1.3065,              0.7822,              1.0689,             0.84697,             0.85573,             0.89571,             0.56725,              1.1938,             0.65367,              1.1503,            0.005842,            0.005842,            0.005842
                  44,              1.3097,             0.79875,              1.0727,             0.83917,             0.85309,             0.90352,             0.56777,              1.1845,             0.65715,               1.147,            0.005743,            0.005743,            0.005743
                  45,              1.3018,             0.78955,              1.0723,             0.83187,             0.86689,             0.90355,              0.5723,              1.1951,             0.65355,              1.1516,            0.005644,            0.005644,            0.005644
                  46,              1.3002,             0.77521,               1.072,              0.8638,             0.83058,             0.90374,             0.57313,               1.167,             0.65669,              1.1339,            0.005545,            0.005545,            0.005545
                  47,              1.3047,             0.77419,              1.0746,             0.82367,             0.88688,             0.90652,             0.57266,              1.1862,             0.65196,              1.1525,            0.005446,            0.005446,            0.005446
                  48,              1.2947,              0.7767,              1.0733,              0.8445,             0.84536,             0.90035,             0.57182,              1.1785,             0.65439,              1.1454,            0.005347,            0.005347,            0.005347
                  49,              1.2878,             0.75872,              1.0593,               0.797,             0.87625,             0.89134,             0.57006,              1.1782,             0.64249,              1.1478,            0.005248,            0.005248,            0.005248
                  50,              1.2889,             0.75253,              1.0583,             0.81768,             0.86247,             0.89859,             0.57639,              1.1707,             0.63875,              1.1402,            0.005149,            0.005149,            0.005149
                  51,              1.2872,             0.76499,              1.0676,             0.83156,             0.87601,             0.91177,             0.57872,              1.1871,             0.65404,              1.1482,             0.00505,             0.00505,             0.00505
                  52,              1.2932,              0.7641,              1.0656,             0.85132,             0.85866,             0.90394,             0.56903,              1.2014,              0.6543,              1.1624,            0.004951,            0.004951,            0.004951
                  53,              1.2878,             0.75871,               1.067,             0.83947,             0.86767,              0.9024,             0.57145,              1.1844,             0.64046,              1.1496,            0.004852,            0.004852,            0.004852
                  54,              1.2745,             0.74541,              1.0574,             0.83629,             0.85971,             0.90312,             0.57965,              1.1825,             0.63953,              1.1484,            0.004753,            0.004753,            0.004753
                  55,              1.2752,             0.74691,              1.0654,             0.83127,             0.88316,              0.9033,             0.58312,              1.1831,             0.62512,              1.1617,            0.004654,            0.004654,            0.004654
