               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.3147,             0.81037,              1.0665,             0.84228,             0.84525,              0.8992,              0.5579,               1.212,             0.66303,              1.1433,            0.006436,            0.006436,            0.006436
                  38,              1.3272,             0.81535,              1.0734,             0.84662,             0.80997,             0.89084,             0.56803,              1.1871,             0.68026,              1.1295,            0.006337,            0.006337,            0.006337
                  39,              1.3258,             0.81176,              1.0527,             0.83113,             0.83526,             0.89654,             0.57162,              1.1818,             0.67486,              1.1206,            0.006238,            0.006238,            0.006238
                  40,              1.3098,             0.79827,              1.0627,             0.83352,             0.84441,               0.903,             0.56968,              1.1795,             0.69091,              1.1202,            0.006139,            0.006139,            0.006139
                  41,              1.3149,             0.81444,              1.0721,              0.8129,             0.86644,             0.89148,             0.56937,              1.1852,              0.6796,              1.1353,             0.00604,             0.00604,             0.00604
                  42,              1.3119,             0.79971,              1.0618,             0.80723,             0.86822,             0.89548,              0.5628,              1.1846,             0.67177,              1.1234,            0.005941,            0.005941,            0.005941
                  43,              1.3012,             0.78503,              1.0569,             0.83618,             0.86365,             0.90312,             0.57334,              1.1732,             0.66706,              1.1214,            0.005842,            0.005842,            0.005842
                  44,              1.3015,             0.78916,              1.0609,             0.83716,             0.83016,             0.89684,             0.56762,              1.1828,             0.67042,               1.129,            0.005743,            0.005743,            0.005743
                  45,              1.2956,             0.78582,              1.0587,             0.85726,             0.85021,              0.9113,             0.58009,              1.1821,             0.64931,              1.1157,            0.005644,            0.005644,            0.005644
                  46,              1.2908,             0.76871,              1.0544,              0.8442,              0.8668,             0.89938,             0.57211,               1.168,             0.65784,              1.1184,            0.005545,            0.005545,            0.005545
                  47,              1.2954,             0.77268,              1.0618,             0.85438,             0.84556,             0.89888,              0.5652,              1.1842,             0.66106,              1.1277,            0.005446,            0.005446,            0.005446
                  48,              1.2893,             0.77792,              1.0608,             0.83329,             0.85648,             0.90694,             0.57973,              1.1717,             0.65582,              1.1299,            0.005347,            0.005347,            0.005347
                  49,              1.2856,             0.76006,              1.0488,             0.81725,             0.85518,             0.89382,             0.56744,              1.1814,              0.6568,              1.1298,            0.005248,            0.005248,            0.005248
                  50,              1.2846,             0.75328,              1.0462,             0.78832,             0.88308,             0.89899,             0.57987,              1.1692,             0.64999,              1.1181,            0.005149,            0.005149,            0.005149
                  51,              1.2837,             0.76522,              1.0559,             0.80881,             0.88361,             0.89889,             0.57538,              1.1617,             0.67194,              1.1145,             0.00505,             0.00505,             0.00505
                  52,              1.2865,             0.76237,              1.0515,             0.85168,             0.82126,             0.90036,             0.57674,              1.1723,             0.67329,              1.1178,            0.004951,            0.004951,            0.004951
                  53,              1.2826,             0.75852,              1.0505,              0.8158,             0.86171,             0.89566,              0.5774,              1.1692,                0.65,              1.1163,            0.004852,            0.004852,            0.004852
                  54,              1.2735,              0.7505,              1.0446,             0.84511,             0.84585,             0.89876,             0.57189,              1.1784,             0.64536,              1.1254,            0.004753,            0.004753,            0.004753
                  55,              1.2758,             0.75134,              1.0515,             0.85219,             0.84312,             0.91385,             0.58281,              1.1668,             0.64107,               1.116,            0.004654,            0.004654,            0.004654
                  56,              1.2666,             0.74365,              1.0413,             0.82814,             0.87784,             0.91104,             0.58918,              1.1614,             0.64406,              1.1149,            0.004555,            0.004555,            0.004555
                  57,              1.2675,             0.73538,              1.0413,             0.84933,              0.8698,             0.90915,             0.58311,              1.1728,             0.63639,                1.12,            0.004456,            0.004456,            0.004456
                  58,              1.2663,             0.74323,              1.0497,              0.8393,             0.86795,             0.90976,             0.58349,              1.1652,             0.63804,               1.118,            0.004357,            0.004357,            0.004357
                  59,              1.2619,             0.73221,              1.0449,             0.85092,             0.85605,             0.90388,             0.58698,              1.1516,             0.62789,              1.1112,            0.004258,            0.004258,            0.004258
                  60,              1.2653,             0.73831,               1.049,             0.84653,             0.85685,             0.91018,             0.58669,               1.167,             0.63624,              1.1184,            0.004159,            0.004159,            0.004159
                  61,              1.2545,             0.73639,              1.0436,             0.81878,             0.88663,             0.90682,             0.58561,              1.1668,             0.63165,              1.1183,             0.00406,             0.00406,             0.00406
                  62,              1.2564,              0.7236,              1.0471,             0.84778,             0.86848,              0.9136,             0.58852,              1.1624,             0.61901,              1.1159,            0.003961,            0.003961,            0.003961
                  63,              1.2589,             0.72608,              1.0391,             0.84498,             0.88849,             0.91766,             0.58892,               1.158,              0.6152,              1.1146,            0.003862,            0.003862,            0.003862
                  64,              1.2387,             0.71154,              1.0341,             0.82191,             0.87793,             0.91017,             0.59045,              1.1546,             0.62978,              1.1109,            0.003763,            0.003763,            0.003763
                  65,              1.2468,             0.72351,              1.0414,             0.82851,             0.88259,             0.90711,             0.59292,              1.1517,              0.6205,              1.1175,            0.003664,            0.003664,            0.003664
                  66,              1.2375,             0.71087,              1.0353,             0.84709,             0.86563,             0.91141,             0.59513,              1.1534,             0.61471,              1.1128,            0.003565,            0.003565,            0.003565
                  67,              1.2457,             0.70793,              1.0344,             0.82679,             0.88617,             0.91672,             0.58941,              1.1528,             0.62295,              1.1166,            0.003466,            0.003466,            0.003466
                  68,              1.2446,             0.71351,              1.0327,             0.85802,             0.86511,             0.91613,             0.59098,              1.1459,             0.62086,              1.1089,            0.003367,            0.003367,            0.003367
                  69,              1.2455,             0.70518,              1.0311,             0.83751,             0.88692,             0.91347,             0.59227,              1.1397,             0.62434,              1.1096,            0.003268,            0.003268,            0.003268
                  70,              1.2362,             0.70451,              1.0339,             0.83546,             0.89851,              0.9148,             0.59505,              1.1588,             0.61601,              1.1197,            0.003169,            0.003169,            0.003169
                  71,              1.2379,             0.70115,              1.0374,             0.84054,             0.87756,             0.91405,             0.59542,              1.1528,             0.61258,              1.1134,             0.00307,             0.00307,             0.00307
                  72,              1.2236,               0.696,              1.0305,             0.84848,             0.86671,             0.91057,             0.59357,              1.1484,             0.61249,              1.1168,            0.002971,            0.002971,            0.002971
                  73,              1.2272,             0.68845,               1.032,             0.84256,             0.86748,             0.91107,             0.58741,              1.1475,             0.62358,              1.1155,            0.002872,            0.002872,            0.002872
                  74,              1.2177,             0.69075,              1.0346,             0.86215,             0.85896,             0.91351,             0.59536,              1.1466,             0.62377,              1.1155,            0.002773,            0.002773,            0.002773
