epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.387,2.97205,5.4316,2.34943,0.69479,0.55159,0.57752,0.33019,2.67737,2.45053,2.37254,0.067062,0.000332707,0.000332707
2,287.672,2.74577,2.36097,2.2191,0.7106,0.73879,0.78136,0.46022,2.58705,1.74473,2.33452,0.0340554,0.000659446,0.000659446
3,414.788,2.6849,1.87162,2.20031,0.77227,0.82975,0.85403,0.51253,2.53649,1.52282,2.30208,0.00104224,0.000979586,0.000979586
4,541.403,2.63458,1.6362,2.15402,0.7875,0.84887,0.86311,0.52715,2.51666,1.39427,2.27645,0.0009703,0.0009703,0.0009703
