               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.6345,              0.9758,              1.3482,             0.83452,             0.85166,             0.89693,             0.56501,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.6346,             0.99492,              1.3557,             0.84654,             0.84397,             0.89758,             0.57538,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.6334,              0.9814,              1.3474,             0.81822,             0.86508,              0.9016,             0.57537,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.6174,             0.95486,              1.3401,             0.82828,              0.8849,             0.90178,             0.57766,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.6218,             0.96932,               1.346,             0.83563,             0.86027,             0.90536,             0.57158,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.6112,             0.95783,               1.342,              0.8576,             0.86138,             0.91186,             0.58848,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.6122,             0.94945,              1.3417,             0.82931,             0.87509,             0.90216,              0.5799,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.6118,             0.95077,              1.3457,             0.84963,             0.84973,             0.90101,             0.57447,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,               1.607,             0.94999,              1.3428,             0.83712,             0.85445,             0.90261,             0.57893,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.5993,             0.92853,              1.3251,             0.82858,             0.87402,             0.90245,             0.58102,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.5948,              0.9199,              1.3206,             0.87138,             0.83956,             0.91206,             0.58984,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.5963,               0.929,              1.3376,             0.84597,             0.85108,             0.90603,             0.59012,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.5999,             0.92515,              1.3335,             0.86024,             0.84659,              0.9088,             0.58915,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.5958,             0.92142,              1.3357,             0.85457,             0.84491,             0.90353,             0.59036,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.5815,             0.91367,              1.3241,             0.85017,             0.84885,             0.90199,             0.58425,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,               1.582,             0.91511,              1.3322,             0.83344,             0.86654,             0.90329,             0.58261,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.5705,             0.90677,              1.3208,             0.84001,             0.85665,             0.90492,             0.58687,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.5763,             0.89694,              1.3235,             0.85423,             0.87218,             0.91171,             0.59012,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.5745,             0.90582,              1.3295,             0.84087,             0.89416,             0.90475,             0.58405,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.5641,             0.89871,                1.32,             0.86379,             0.85238,             0.90442,              0.5915,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.5706,             0.90335,              1.3269,             0.84507,             0.86084,             0.91391,             0.59555,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,               1.559,             0.89497,              1.3231,             0.86286,             0.86966,             0.92022,             0.59455,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.5583,             0.87843,              1.3257,              0.8391,             0.88334,             0.91335,             0.59632,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.5608,             0.88156,              1.3137,             0.85204,              0.8854,             0.92314,             0.59803,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.5365,             0.86324,              1.3073,             0.82388,             0.89151,              0.9154,             0.59459,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.5471,             0.88066,              1.3204,             0.82404,             0.89204,             0.91828,             0.58766,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.5382,             0.86354,              1.3146,             0.86245,             0.84955,             0.91398,             0.59872,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.5491,             0.86023,              1.3115,             0.87036,             0.86328,             0.91783,             0.59529,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.5446,             0.86452,              1.3075,             0.87324,             0.87272,             0.91763,             0.59356,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.5435,             0.85439,              1.3031,              0.8557,             0.86068,             0.90268,             0.58642,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.5345,             0.85429,              1.3105,             0.85774,             0.85899,             0.91307,               0.598,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.5386,             0.84633,              1.3167,             0.86164,             0.86505,             0.91478,             0.59738,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.5186,             0.84955,              1.3039,             0.84498,             0.86853,              0.9073,             0.59356,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.5191,             0.84042,              1.3032,             0.85458,             0.87457,             0.90417,             0.58738,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.5128,             0.83704,               1.309,             0.85191,             0.86098,             0.90152,             0.59668,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.5039,             0.82691,              1.2975,             0.87457,             0.86186,             0.91268,             0.59682,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.5008,             0.82318,              1.2987,             0.86285,             0.87022,             0.91267,              0.5957,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.5083,             0.82912,              1.2987,             0.85358,             0.85954,             0.91347,              0.5989,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.5076,             0.82092,              1.2947,             0.84612,             0.87102,             0.91239,             0.59604,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.4946,             0.81208,              1.2991,             0.84875,             0.86411,             0.90897,             0.59305,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.4997,             0.81952,              1.3002,             0.84972,             0.87217,             0.91383,             0.59728,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.4849,             0.81022,              1.3009,             0.83631,             0.88535,             0.91415,             0.59669,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.4856,             0.79466,              1.2909,             0.85096,             0.88429,             0.92215,             0.60159,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.4833,              0.7984,              1.2975,             0.84809,             0.87685,             0.91729,             0.60227,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.4786,             0.80325,              1.2929,             0.85213,             0.87395,             0.91748,             0.60578,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.4655,             0.78552,              1.2852,             0.86224,             0.87031,             0.91186,             0.60203,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.4691,             0.79467,              1.2908,             0.86634,             0.87135,             0.90726,             0.60426,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.4636,             0.78095,              1.2882,             0.86676,             0.86095,             0.91719,             0.60736,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.4635,              0.7797,              1.2927,             0.86162,              0.8723,             0.92264,             0.60368,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.4623,             0.77792,              1.2783,              0.8664,             0.86578,             0.91387,             0.60403,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.4602,             0.76656,              1.2776,              0.8555,             0.88556,             0.91323,             0.60147,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.4555,             0.76504,              1.2759,             0.85091,             0.88224,             0.91461,             0.60156,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,               1.455,             0.76163,              1.2737,             0.85058,             0.87549,             0.91063,             0.60065,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.4521,             0.77012,              1.2856,             0.83717,             0.89313,             0.91505,             0.60609,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.4432,             0.75902,              1.2733,             0.85092,             0.87993,             0.91213,             0.60467,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.4303,             0.74528,              1.2786,              0.8536,             0.87737,             0.91314,             0.60752,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.4304,             0.74897,              1.2724,             0.85394,              0.8823,             0.91596,             0.60592,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.4292,             0.74213,              1.2726,             0.86199,             0.87389,             0.91283,             0.60397,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.4375,              0.7506,              1.2671,             0.84485,             0.89063,             0.91123,             0.60214,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.4268,             0.72887,              1.2772,             0.85349,             0.88785,             0.91374,             0.60319,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
