                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.349,                 6.1109,                 4.1994,                 0.0002,                0.01818,                0.00017,                  4e-05,                 5.1277,                 4.7835,                 4.0004,               0.067062,             0.00033271,             0.00033271
                      2,                 4.9558,                 5.2673,                 3.7635,                0.00325,                0.20219,                0.00466,                0.00133,                 4.2226,                  4.199,                 3.5244,               0.034055,             0.00065945,             0.00065945
                      3,                 3.7555,                 4.1329,                 2.9756,                0.07843,                0.08536,                0.05583,                0.02073,                 2.6279,                 3.2199,                 2.6007,              0.0010422,             0.00097959,             0.00097959
                      4,                 2.5551,                 2.9673,                   2.09,                  0.212,                0.32628,                0.21447,                0.09623,                 2.0199,                 2.4421,                 1.9781,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.0324,                 2.4201,                 1.6783,                0.47537,                0.37514,                0.32194,                0.15766,                  1.826,                 2.0226,                 1.7398,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.8791,                 2.1026,                 1.5391,                0.53427,                0.45792,                0.45953,                0.22337,                 1.6787,                 1.7772,                 1.6078,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.7771,                   1.92,                 1.4403,                0.52911,                0.52294,                0.50249,                0.26079,                 1.6124,                 1.6109,                  1.543,              0.0009406,              0.0009406,              0.0009406
                      8,                  1.691,                 1.7568,                 1.3769,                0.52917,                 0.5275,                 0.5214,                0.26316,                 1.6607,                 1.6201,                 1.5435,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.6593,                  1.689,                 1.3519,                0.49607,                0.51557,                0.51128,                0.27444,                 1.5819,                 1.5885,                 1.5031,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.6222,                 1.6215,                 1.3339,                0.44068,                0.45957,                  0.424,                0.22496,                 1.5992,                 1.7795,                  1.508,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.6083,                 1.5548,                  1.322,                 0.6285,                0.60438,                 0.6436,                0.35577,                 1.4445,                 1.3702,                 1.3966,               0.000901,               0.000901,               0.000901
                     12,                  1.563,                 1.5149,                 1.3002,                0.59691,                0.56318,                0.60923,                0.32872,                 1.5337,                 1.4521,                 1.4379,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.5481,                 1.4381,                 1.2791,                0.69399,                0.64999,                0.69025,                 0.3895,                  1.433,                  1.283,                 1.3773,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.5241,                 1.3967,                 1.2661,                0.73486,                0.61931,                0.69915,                0.38811,                 1.4241,                 1.2724,                 1.3661,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.5209,                 1.3752,                 1.2513,                0.66649,                0.68608,                0.70714,                 0.3959,                  1.433,                 1.2133,                 1.3557,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.5035,                 1.3712,                 1.2601,                0.59931,                0.55349,                0.60082,                0.31591,                 1.5852,                 1.3577,                 1.4528,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.4924,                  1.301,                 1.2439,                 0.6809,                0.67084,                0.71445,                0.39877,                 1.4168,                 1.2057,                 1.3465,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.4864,                 1.2959,                 1.2371,                0.70129,                0.71362,                0.74679,                 0.4169,                 1.3736,                 1.1617,                 1.3224,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.4772,                 1.2826,                 1.2486,                0.70203,                0.68683,                0.72066,                0.40744,                 1.4035,                 1.1735,                 1.3337,              0.0008218,              0.0008218,              0.0008218
                     20,                  1.458,                 1.2487,                 1.2242,                 0.7457,                0.72694,                0.76333,                 0.4406,                 1.3602,                  1.151,                 1.3072,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.4543,                  1.224,                 1.2204,                0.75998,                0.68319,                 0.7516,                0.42649,                  1.367,                 1.1196,                 1.3179,               0.000802,               0.000802,               0.000802
                     22,                 1.4434,                 1.2076,                 1.2171,                0.74623,                0.73581,                0.79358,                0.45539,                  1.362,                 1.0352,                 1.3057,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.4333,                 1.1892,                 1.2171,                0.69176,                0.73543,                0.75813,                0.43268,                 1.3679,                 1.0801,                  1.309,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.4377,                 1.1736,                  1.208,                0.67876,                0.77019,                0.77311,                0.44241,                 1.3667,                 1.0827,                 1.2955,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.4311,                 1.1543,                 1.2092,                0.76297,                0.73409,                0.78791,                0.46021,                  1.338,                 1.0179,                 1.2904,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.4173,                 1.1397,                 1.2029,                0.71526,                 0.7213,                0.75999,                0.42269,                 1.3902,                 1.0982,                 1.3185,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.4209,                 1.1434,                 1.2032,                0.72502,                0.78391,                0.79278,                0.46333,                 1.3349,                 1.0291,                 1.2834,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.4072,                 1.1094,                 1.1882,                0.72383,                0.71734,                0.76221,                0.42236,                 1.4264,                 1.1201,                 1.3328,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.4017,                 1.0909,                  1.186,                 0.7754,                 0.7765,                0.81412,                0.48548,                 1.3154,                 0.9791,                 1.2678,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.4007,                 1.0802,                 1.1835,                0.78826,                0.77848,                0.81446,                0.48081,                 1.3131,                0.95501,                  1.273,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.3957,                  1.076,                 1.1855,                0.78767,                0.79111,                0.81901,                0.48482,                 1.3157,                0.96157,                 1.2706,               0.000703,               0.000703,               0.000703
                     32,                 1.3904,                 1.0773,                 1.1893,                0.76609,                0.78649,                0.82112,                0.49031,                 1.3042,                0.97688,                 1.2608,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.3837,                 1.0583,                 1.1758,                0.75066,                0.81263,                0.82608,                0.48216,                 1.3205,                0.95976,                 1.2695,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.3979,                 1.0685,                 1.1814,                0.80324,                0.77149,                0.82956,                0.48625,                 1.3289,                0.94757,                 1.2784,              0.0006733,              0.0006733,              0.0006733
                     35,                  1.383,                 1.0545,                 1.1804,                0.76378,                0.80178,                0.82157,                0.49031,                 1.3181,                0.94419,                 1.2722,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.3796,                 1.0428,                 1.1754,                0.76112,                0.78031,                0.82171,                0.48378,                 1.3145,                0.96919,                 1.2707,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.3856,                  1.044,                 1.1867,                0.79192,                  0.806,                0.83502,                0.49978,                 1.3022,                0.93007,                 1.2629,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.3756,                 1.0264,                 1.1728,                0.79546,                0.79574,                0.82358,                0.49092,                 1.2902,                0.93941,                 1.2518,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3694,                  1.028,                 1.1724,                0.81785,                0.78435,                0.84054,                0.50233,                 1.3064,                0.91226,                 1.2613,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.3737,                 1.0212,                 1.1729,                0.78699,                0.76646,                0.82214,                0.46924,                 1.3552,                0.97747,                 1.2934,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.3597,                0.99735,                 1.1606,                0.77303,                 0.7809,                 0.8294,                0.47773,                 1.3605,                0.94948,                 1.2891,               0.000604,               0.000604,               0.000604
                     42,                 1.3642,                 1.0048,                 1.1704,                0.81161,                0.80125,                 0.8484,                0.50229,                 1.3032,                0.90597,                 1.2615,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.3607,                0.99394,                 1.1728,                0.81873,                0.77314,                0.84321,                0.50318,                 1.2925,                0.90646,                 1.2531,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.3562,                0.98216,                 1.1603,                0.79851,                0.80907,                0.84218,                0.50682,                 1.2889,                0.89327,                 1.2551,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.3612,                0.98978,                 1.1673,                 0.7964,                0.80296,                0.83786,                 0.4989,                 1.2913,                0.92213,                 1.2515,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.3503,                0.97302,                 1.1586,                0.79926,                0.79593,                0.83307,                0.49908,                 1.2856,                0.90865,                 1.2519,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.3556,                0.97948,                 1.1642,                0.79754,                0.80973,                 0.8359,                0.50249,                 1.2886,                0.88414,                 1.2484,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.3476,                0.97116,                 1.1579,                0.80291,                0.81669,                0.84593,                0.50537,                 1.2848,                0.89696,                 1.2422,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.3546,                0.97205,                 1.1644,                0.80419,                0.81272,                0.84648,                0.51057,                 1.2756,                0.89383,                 1.2447,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.3434,                0.95623,                 1.1518,                0.81622,                0.80348,                0.84038,                0.50772,                 1.2846,                0.88225,                 1.2462,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.3369,                0.94892,                 1.1511,                0.80026,                0.81354,                0.84815,                0.51277,                 1.2797,                0.86736,                 1.2431,               0.000505,               0.000505,               0.000505
                     52,                 1.3391,                0.94778,                 1.1574,                0.83055,                0.81129,                0.85367,                0.52203,                 1.2637,                0.85082,                 1.2367,              0.0004951,              0.0004951,              0.0004951
                     53,                  1.345,                0.96017,                 1.1625,                0.83152,                0.81193,                0.86258,                0.52298,                 1.2841,                0.85322,                 1.2492,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.3346,                0.95383,                 1.1567,                0.79865,                0.83188,                0.85484,                0.51897,                 1.2747,                0.86578,                 1.2358,              0.0004753,              0.0004753,              0.0004753
